Ticker,AMT,DV,EQIX,IPG,LAMR,OMC,PLD,SPG,WELL,ZETA
AMT,0.06404197405435756,-0.016060170621411407,0.02730830337499713,0.004650845051390173,0.00803318025999091,0.0006998315413264171,0.02702110145921753,0.014976597725973234,0.014693813176237509,-0.009938612534928618
DV,-0.016060170621411407,0.21523183754693873,0.012085318031944733,0.0349249610824622,0.02322196761018151,0.03162374427814032,0.010889412604720657,0.010209376894865592,-0.007419891890370417,0.05858912605604271
EQIX,0.02730830337499713,0.012085318031944733,0.05136804871705642,0.012515704159346587,0.01684964156948014,0.010538043588295704,0.025628236482744735,0.016955872737386947,0.014390869589271806,0.02403916842290346
IPG,0.004650845051390173,0.0349249610824622,0.012515704159346587,0.06183892031338294,0.0207754677231614,0.04816082870388964,0.02014669867034639,0.010739097109230315,0.0005359837907404678,0.01680585066441114
LAMR,0.00803318025999091,0.02322196761018151,0.01684964156948014,0.0207754677231614,0.041649996086130216,0.019160077354672633,0.01540322504272104,0.015879935689361163,0.009930902287882978,0.036831523372780985
OMC,0.0006998315413264171,0.03162374427814032,0.010538043588295704,0.04816082870388964,0.019160077354672633,0.052231015670884534,0.016176813490029304,0.011132442234743,0.00040748977838530876,0.028256781750260574
PLD,0.02702110145921753,0.010889412604720657,0.025628236482744735,0.02014669867034639,0.01540322504272104,0.016176813490029304,0.058802305219352105,0.025030435521745262,0.014027608825357488,0.0005200553285933779
SPG,0.014976597725973234,0.010209376894865592,0.016955872737386947,0.010739097109230315,0.015879935689361163,0.011132442234743,0.025030435521745262,0.04115385978823776,0.01951216613328684,0.03246404962284802
WELL,0.014693813176237509,-0.007419891890370417,0.014390869589271806,0.0005359837907404678,0.009930902287882978,0.00040748977838530876,0.014027608825357488,0.01951216613328684,0.03917169835170165,0.020105474726544177
ZETA,-0.009938612534928618,0.05858912605604271,0.02403916842290346,0.01680585066441114,0.036831523372780985,0.028256781750260574,0.0005200553285933779,0.03246404962284802,0.020105474726544177,0.9040955914066785
