PLD
AMT
EQIX
WELL
SPG
PSA
CCI
DLR
O
CSGP
VICI
EXR
AVB
SBAC
CBRE
EQR
INVH
VTR
ARE
RKT
SUI
MAA
AMH
ESS
ELS
GLPI
WPC
HST
UDR
REG
CPT

CUBE
BXP
OHI
EGP
OMC
LAMR
IPG
ZETA
DV
ZD
OUT
MGNI
STGW
IAS
TBLA
ADV
PUBM
QNST
TTGT
MAX
CCO
DSP
NCMI
BOC
QUAD
CTV
OB
SCOR
MCHX
HHS
DRCT
IZEA
INUV
MRIN
